;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-;;DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-
OddEvenSort;882;1274;1274;49;94311;125249;125249;125249;10002999;12502499;7503499;10002999;1041679166;1041629167;833333333;1250024999;262947012,4;;OddEvenSort;0,00000882;0,00001274;0,00001274;0,00000049;0,00094311;0,00125249;0,00125249;0,00125249;0,10002999;0,12502499;0,07503499;0,10002999;10,41679166;10,41629167;8,33333333;12,50024999;2,629470124
CombSort;408;408;408;408;8372;8871;8372;8871;123386;128385;128385;128385;1733411;1733411;1733411;1683412;464269;;CombSort;0,00000408;0,00000408;0,00000408;0,00000408;0,00008372;0,00008871;0,00008372;0,00008871;0,00123386;0,00128385;0,00128385;0,00128385;0,01733411;0,01733411;0,01733411;0,01683412;0,00464269
SelectionSort;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;315649618,8;;SelectionSort;0,00001225;0,00001225;0,00001225;0,00001225;0,0012475;0,0012475;0,0012475;0,0012475;0,124975;0,124975;0,124975;0,124975;12,49975;12,49975;12,49975;12,49975;3,156496188
CountingSort;100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;27775;;CountingSort;0,000001;0,000001;#VALUE!;#VALUE!;0,00001;0,00001;#VALUE!;#VALUE!;0,0001;0,0001;#VALUE!;#VALUE!;0,001;0,001;#VALUE!;#VALUE!;#VALUE!
ShellSort;203;204;204;203;3506;3631;3506;3506;55341;55758;55005;55005;700007;700016;700014;720823;191058,25;;ShellSort;0,00000203;0,00000204;0,00000204;0,00000203;0,00003506;0,00003631;0,00003506;0,00003506;0,00055341;0,00055758;0,00055005;0,00055005;0,00700007;0,00700016;0,00700014;0,00720823;0,001910583
QuickSort;442;442;442;445;109375;32370;31996;47000;3506497;5504497;8503497;2508492;1180519445;208424997;972186112;416716664;174880794,6;;QuickSort;0,00000442;0,00000442;0,00000442;0,00000445;0,00109375;0,0003237;0,00031996;0,00047;0,03506497;0,05504497;0,08503497;0,02508492;11,80519445;2,08424997;9,72186112;4,16716664;1,748807946
MergeSort;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;212761,5;;MergeSort;0,00000286;0,00000286;0,00000286;0,00000286;0,00004488;0,00004488;0,00004488;0,00004488;0,00061808;0,00061808;0,00061808;0,00061808;0,00784464;0,00784464;0,00784464;0,00784464;0,002127615
HeapSort;221;169;169;220;2408;2970;3006;3078;43801;44475;49298;49095;517887;645897;613576;631261;162970,6875;;HeapSort;0,00000221;0,00000169;0,00000169;0,0000022;0,00002408;0,0000297;0,00003006;0,00003078;0,00043801;0,00044475;0,00049298;0,00049095;0,00517887;0,00645897;0,00613576;0,00631261;0,001629707
BucketSort;109;327;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;69446,375;;BucketSort;0,00000109;0,00000327;#VALUE!;#VALUE!;0,00001009;0,00004036;#VALUE!;#VALUE!;0,00010009;0,00040036;#VALUE!;#VALUE!;0,00100009;0,00400036;#VALUE!;#VALUE!;#VALUE!
RadixSort;386;98;-;-;31798;548;-;-;4005048;5048;-;-;625016715;50048;-;-;78638711,13;;RadixSort;0,00000386;0,00000098;#VALUE!;#VALUE!;0,00031798;0,00000548;#VALUE!;#VALUE!;0,04005048;0,00005048;#VALUE!;#VALUE!;6,25016715;0,00050048;#VALUE!;#VALUE!;#VALUE!
IntroSort;222;208;208;220;2408;3352;3291;3347;46852;48861;45935;49644;515362;613831;613576;641411;161795,5;;IntroSort;0,00000222;0,00000208;0,00000208;0,0000022;0,00002408;0,00003352;0,00003291;0,00003347;0,00046852;0,00048861;0,00045935;0,00049644;0,00515362;0,00613831;0,00613576;0,00641411;0,001617955
TimSort;388;932;932;100;35250;66500;66500;97750;4076352;7076352;4076352;6076352;626059691;487198579;417726358;764987467;144846615,9;;TimSort;0,00000388;0,00000932;0,00000932;0,000001;0,0003525;0,000665;0,000665;0,0009775;0,04076352;0,07076352;0,04076352;0,06076352;6,26059691;4,87198579;4,17726358;7,64987467;1,448466159
